csImsiAttachAttempts,counter,Cs Imsi Attach Attempts,Number of cs Imsi Attach Attempts,csImsiAttachFailRate
usersCsImsiAttachFailures,counter,Users Cs Imsi Attach Failures,Number of users Cs Imsi Attach Failures,csImsiAttachFailRate
csLocationUpdateFailures,counter,Cs Location Update Failures,Number of cs Location Update Failures,csLocationUpdateFailRate
usersCsLocationUpdateAttempts,counter,Users Cs Location Update Attempts,Number of users Cs Location Update Attempts,csLocationUpdateFailRate
csLocationUpdateAttempts,counter,Cs Location Update Attempts,Number of cs Location Update Attempts,csLocationUpdateFailRate
usersCsLocationUpdateFailures,counter,Users Cs Location Update Failures,Number of users Cs Location Update Failures,csLocationUpdateFailRate
csCallAnswer,counter,Cs Call Answer,Number of cs Call Answer,csMos
userscsCallAnswer,counter,Userscs Call Answer,Number of userscs Call Answer,csMos
usersCsCallAnswerPerMosClass,counter,Users Cs Call Answer Per Mos Class,Number of users Cs Call Answer Per Mos Class,csMos
csCallAnswerPerMosClass,counter,Cs Call Answer Per Mos Class,Number of cs Call Answer Per Mos Class,csMos
usersTcpPacketsRetransmittedDl,counter,Users Tcp Packets Retransmitted Dl,Number of users Tcp Packets Retransmitted Dl,tcpPacketRetransmissionRateDl
tcpPacketsRetransmittedDl,counter,Tcp Packets Retransmitted Dl,Number of tcp Packets Retransmitted Dl,tcpPacketRetransmissionRateDl
usersTcpPacketsTransmittedDl,counter,Users Tcp Packets Transmitted Dl,Number of users Tcp Packets Transmitted Dl,tcpPacketRetransmissionRateDl
tcpPacketsTransmittedDl,counter,Tcp Packets Transmitted Dl,Number of tcp Packets Transmitted Dl,tcpPacketRetransmissionRateDl
usersTcpPacketsRetransmittedUl,counter,Users Tcp Packets Retransmitted Ul,Number of users Tcp Packets Retransmitted Ul,tcpPacketRetransmissionRateUl
usersTcpPacketsTransmittedUl,counter,Users Tcp Packets Transmitted Ul,Number of users Tcp Packets Transmitted Ul,tcpPacketRetransmissionRateUl
tcpPacketsRetransmittedUl,counter,Tcp Packets Retransmitted Ul,Number of tcp Packets Retransmitted Ul,tcpPacketRetransmissionRateUl
tcpPacketsTransmittedUl,counter,Tcp Packets Transmitted Ul,Number of tcp Packets Transmitted Ul,tcpPacketRetransmissionRateUl
